Player,Team,Pos
Bennedict Mathurin,IND,SF
Marcus Smart,MEM,PG
Tim Hardaway Jr.,DAL,SF
Dennis Schröder,2TM,PG
Dennis Schröder,TOR,PG
Dennis Schröder,BRK,PG
Rudy Gobert,MIN,C
Scoot Henderson,POR,PG
Caris LeVert,CLE,SG
Aaron Gordon,DEN,PF
Norman Powell,LAC,SG
Jalen Duren,DET,C
Bobby Portis,MIL,PF
Saddiq Bey,ATL,SF
Jabari Smith Jr.,HOU,PF
Gary Trent Jr.,TOR,SG
Rui Hachimura,LAL,PF
Grayson Allen,PHO,SG
Naz Reid,MIN,C
Cameron Johnson,BRK,PF
Corey Kispert,WAS,SF
Andrew Wiggins,GSW,SF
Keyonte George,UTA,PG
P.J. Washington,2TM,PF
P.J. Washington,CHO,PF
P.J. Washington,DAL,PF
Scotty Pippen Jr.,MEM,PG
Duncan Robinson,MIA,SF
Dillon Brooks,HOU,SF
Mark Williams,CHO,C
Jalen Suggs,ORL,SG
Jrue Holiday,BOS,PG
Brook Lopez,MIL,C
Josh Giddey,OKC,SG
Cam Whitmore,HOU,SF
Harrison Barnes,SAC,PF
Ayo Dosunmu,CHI,SG
Javonte Green,CHI,SF
Aaron Nesmith,IND,SF
Max Strus,CLE,SF
Jonas Valančiūnas,NOP,C
Buddy Hield,2TM,SF
Buddy Hield,IND,SF
Buddy Hield,PHI,SG
Tyus Jones,WAS,PG
Jaime Jaquez Jr.,MIA,SF
Nic Claxton,BRK,C
Marvin Bagley III,2TM,C
Marvin Bagley III,DET,C
Marvin Bagley III,WAS,C
Ivica Zubac,LAC,C
Cole Anthony,ORL,PG
Jeremy Sochan,SAS,PF
Clint Capela,ATL,C
Mike Conley,MIN,PG
Malik Beasley,MIL,SG
Brandon Clarke,MEM,PF
Zach Collins,SAS,C
De'Anthony Melton,PHI,SG
Jakob Poeltl,TOR,C
Russell Westbrook,LAC,PG
Daniel Gafford,2TM,PF
Daniel Gafford,WAS,C
Daniel Gafford,DAL,PF
Wendell Carter Jr.,ORL,C
Eric Gordon,PHO,SG
Herbert Jones,NOP,SF
Luke Kennard,MEM,SG
Luguentz Dort,OKC,SF
Jusuf Nurkić,PHO,C
Isaiah Stewart,DET,PF
Moritz Wagner,ORL,C
Bruce Brown,2TM,SG
Bruce Brown,IND,SG
Bruce Brown,TOR,PG
Jake LaRavia,MEM,PF
Santi Aldama,MEM,PF
Simone Fontecchio,2TM,SF
Simone Fontecchio,UTA,SF
Simone Fontecchio,DET,SF
Spencer Dinwiddie,2TM,PG
Spencer Dinwiddie,BRK,PG
Spencer Dinwiddie,LAL,PG
Jaden McDaniels,MIN,SF
Alec Burks,2TM,SG
Alec Burks,DET,SG
Alec Burks,NYK,SG
Dalano Banton,2TM,PG
Dalano Banton,BOS,PG
Dalano Banton,POR,PG
Grant Williams,2TM,PF
Grant Williams,DAL,PF
Grant Williams,CHO,PF
Obi Toppin,IND,PF
Kevin Huerter,SAC,SG
Reggie Jackson,DEN,PG
T.J. McConnell,IND,PG
Onyeka Okongwu,ATL,C
Kentavious Caldwell-Pope,DEN,SG
Alex Caruso,CHI,SG
Talen Horton-Tucker,UTA,PG
Tre Jones,SAS,PG
Caleb Martin,MIA,SF
Patrick Williams,CHI,PF
Vince Williams Jr.,MEM,SG
Josh Richardson,MIA,SG
Jalen Smith,IND,C
Gordon Hayward,2TM,SF
Gordon Hayward,CHO,SF
Gordon Hayward,OKC,SF
Kelly Olynyk,2TM,C
Kelly Olynyk,UTA,C
Kelly Olynyk,TOR,C
Tari Eason,HOU,PF
Nick Richards,CHO,C
Lonnie Walker IV,BRK,SG
Payton Pritchard,BOS,PG
Amen Thompson,HOU,SF
Josh Hart,NYK,SF
Georges Niang,CLE,PF
Isaac Okoro,CLE,SF
Tre Mann,2TM,PG
Tre Mann,OKC,PG
Tre Mann,CHO,PG
Malaki Branham,SAS,PG
Andrew Nembhard,IND,PG
Chris Paul,GSW,PG
Brandin Podziemski,GSW,SG
Duop Reath,POR,C
Sam Hauser,BOS,SF
Taurean Prince,LAL,PF
Jabari Walker,POR,SF
Dereck Lively II,DAL,C
Kevin Love,MIA,PF
Terance Mann,LAC,SG
Ausar Thompson,DET,SF
Draymond Green,GSW,PF
Al Horford,BOS,C
Derrick Jones Jr.,DAL,SF
Gradey Dick,TOR,SG
Dorian Finney-Smith,BRK,PF
Tristan Vukcevic,WAS,C
Bilal Coulibaly,WAS,SF
Andre Drummond,CHI,C
Miles McBride,NYK,PG
Marcus Sasser,DET,PG
Josh Green,DAL,SG
Isaiah Joe,OKC,SG
Ziaire Williams,MEM,SF
Kyle Lowry,2TM,PG
Kyle Lowry,MIA,PG
Kyle Lowry,PHI,PG
Walker Kessler,UTA,C
Moses Moody,GSW,SG
Nickeil Alexander-Walker,MIN,SG
Sam Merrill,CLE,SG
Derrick Rose,MEM,PG
Dario Šarić,GSW,C
Trayce Jackson-Davis,GSW,PF
Dante Exum,DAL,PG
Markelle Fultz,ORL,PG
Isaiah Hartenstein,NYK,C
Jordan Hawkins,NOP,SG
Royce O'Neale,2TM,SF
Royce O'Neale,BRK,SF
Royce O'Neale,PHO,SF
RaiQuan Gray,SAS,PF
Nikola Jović,MIA,PF
Precious Achiuwa,2TM,PF
Precious Achiuwa,TOR,C
Precious Achiuwa,NYK,PF
Toumani Camara,POR,PF
Cody Martin,CHO,SF
Brice Sensabaugh,UTA,SF
Cameron Payne,2TM,PG
Cameron Payne,MIL,PG
Cameron Payne,PHI,PG
Christian Braun,DEN,SG
Jaden Hardy,DAL,SG
Taylor Hendricks,UTA,PF
Paul Reed,PHI,C
Lamar Stevens,2TM,PF
Lamar Stevens,BOS,PF
Lamar Stevens,MEM,PF
Johnny Juzang,UTA,SG
Kevin Knox,DET,SF
Trey Lyles,SAC,PF
Jose Alvarado,NOP,PG
Naji Marshall,NOP,SF
Landry Shamet,WAS,SG
James Wiseman,DET,C
Vasilije Micić,2TM,PG
Vasilije Micić,OKC,PG
Vasilije Micić,CHO,PG
Jordan Nwora,2TM,SF
Jordan Nwora,IND,SF
Jordan Nwora,TOR,SF
Quentin Grimes,2TM,SG
Quentin Grimes,NYK,SG
Quentin Grimes,DET,SG
Javon Freeman-Liberty,TOR,PG
Evan Fournier,2TM,SG
Evan Fournier,NYK,SG
Evan Fournier,DET,SG
Gary Harris,ORL,SG
Killian Hayes,DET,PG
Bones Hyland,LAC,PG
Mãozinha Pereira,MEM,SF
Trendon Watford,BRK,PF
Aaron Wiggins,OKC,SG
Christian Wood,LAL,PF
Trey Jemison,2TM,C
Trey Jemison,WAS,C
Trey Jemison,MEM,C
Julian Champagnie,SAS,SF
Jonathan Isaac,ORL,PF
Cedi Osman,SAS,SF
Day'Ron Sharpe,BRK,C
Cason Wallace,OKC,SG
Robert Williams,POR,C
Dāvis Bertāns,2TM,PF
Dāvis Bertāns,OKC,PF
Dāvis Bertāns,CHO,PF
Jahmi'us Ramsey,TOR,SG
Peyton Watson,DEN,SF
Amir Coffey,LAC,SF
Aaron Holiday,HOU,PG
Dennis Smith Jr.,BRK,PG
Chimezie Metu,2TM,C
Chimezie Metu,PHO,C
Chimezie Metu,DET,C
Jordan Goodwin,2TM,PG
Jordan Goodwin,PHO,PG
Jordan Goodwin,MEM,PG
David Roddy,2TM,PF
David Roddy,MEM,PF
David Roddy,PHO,PF
David Duke Jr.,SAS,SG
Jeff Green,HOU,PF
Isaiah Jackson,IND,C
Marcus Morris,2TM,PF
Marcus Morris,PHI,PF
Marcus Morris,CLE,PF
Kyle Anderson,MIN,PF
Chris Boucher,TOR,PF
Jared Butler,WAS,SG
Bruno Fernando,ATL,C
Daniel Theis,2TM,C
Daniel Theis,IND,C
Daniel Theis,LAC,C
Jaylen Nowell,2TM,SG
Jaylen Nowell,MEM,SG
Jaylen Nowell,DET,SG
Patrick Beverley,2TM,PG
Patrick Beverley,PHI,PG
Patrick Beverley,MIL,PG
Jae Crowder,MIL,PF
Keon Johnson,BRK,SG
Haywood Highsmith,MIA,PF
Vit Krejci,ATL,PG
Kris Murray,POR,SF
Ben Simmons,BRK,PG
Zavier Simpson,MEM,PG
Tosan Evbuomwan,2TM,SF
Tosan Evbuomwan,MEM,SF
Tosan Evbuomwan,DET,SF
Justin Champagnie,WAS,SF
Nick Smith Jr.,CHO,SG
Ochai Agbaji,2TM,SG
Ochai Agbaji,UTA,SG
Ochai Agbaji,TOR,SG
Noah Clowney,BRK,PF
Dyson Daniels,NOP,PG
Danilo Gallinari,3TM,SF
Danilo Gallinari,WAS,PF
Danilo Gallinari,DET,SF
Danilo Gallinari,MIL,SF
Thomas Bryant,MIA,C
Torrey Craig,CHI,SF
Larry Nance Jr.,NOP,C
Pat Connaughton,MIL,SF
Craig Porter Jr.,CLE,PG
Mitchell Robinson,NYK,C
Malachi Flynn,3TM,PG
Malachi Flynn,TOR,PG
Malachi Flynn,NYK,PG
Malachi Flynn,DET,PG
Doug McDermott,2TM,SF
Doug McDermott,SAS,SF
Doug McDermott,IND,SF
Dexter Dennis,DAL,SG
Gary Payton II,GSW,SG
Neemias Queta,BOS,C
Ricky Council IV,PHI,SG
Kris Dunn,UTA,PG
Keon Ellis,SAC,SG
Cam Reddish,LAL,SF
Matt Ryan,NOP,SF
Matisse Thybulle,POR,SF
Sasha Vezenkov,SAC,PF
Dean Wade,CLE,PF
Darius Bazley,2TM,PF
Darius Bazley,PHI,PF
Darius Bazley,UTA,PF
Xavier Tillman Sr.,2TM,PF
Xavier Tillman Sr.,MEM,C
Xavier Tillman Sr.,BOS,PF
Nicolas Batum,2TM,PF
Nicolas Batum,LAC,PF
Nicolas Batum,PHI,PF
Luke Kornet,BOS,C
Davion Mitchell,SAC,PG
Mason Plumlee,LAC,C
Stanley Umude,DET,SG
Aleksej Pokusevski,2TM,PF
Aleksej Pokusevski,OKC,PF
Aleksej Pokusevski,CHO,PF
Bol Bol,PHO,PF
Brandon Boston Jr.,LAC,SF
Jarred Vanderbilt,LAL,PF
Seth Curry,2TM,SG
Seth Curry,DAL,SG
Seth Curry,CHO,SG
Drew Eubanks,PHO,C
Bryce McGowens,CHO,SG
Richaun Holmes,2TM,C
Richaun Holmes,DAL,C
Richaun Holmes,WAS,PF
Monte Morris,2TM,PG
Monte Morris,DET,PG
Monte Morris,MIN,PG
Goga Bitadze,ORL,C
Jevon Carter,CHI,PG
Devonte' Graham,SAS,PG
Isaiah Livers,DET,PF
Kobi Simmons,TOR,PG
D.J. Wilson,PHI,PF
Jalen Wilson,BRK,PF
Jock Landale,HOU,C
Garrison Mathews,ATL,SG
Jared Rhoden,DET,SG
Kobe Bufkin,ATL,SG
DeJon Jarreau,MEM,SG
Eugene Omoruyi,WAS,SF
Kenrich Williams,OKC,PF
Kenneth Lofton Jr.,3TM,PF
Kenneth Lofton Jr.,MEM,PF
Kenneth Lofton Jr.,PHI,PF
Kenneth Lofton Jr.,UTA,PF
Anthony Black,ORL,PG
Josh Okogie,PHO,SG
Omer Yurtseven,UTA,C
Shake Milton,3TM,SG
Shake Milton,MIN,SG
Shake Milton,DET,SG
Shake Milton,NYK,SG
Delon Wright,2TM,PG
Delon Wright,WAS,PG
Delon Wright,MIA,PG
A.J. Green,MIL,SG
Kevon Looney,GSW,C
Taze Moore,POR,SG
Julian Strawther,DEN,SF
Bismack Biyombo,2TM,C
Bismack Biyombo,MEM,C
Bismack Biyombo,OKC,C
Robert Covington,2TM,PF
Robert Covington,LAC,PF
Robert Covington,PHI,SF
Patrick Baldwin Jr.,WAS,SF
Mo Bamba,PHI,C
Dominick Barlow,SAS,PF
MarJon Beauchamp,MIL,SF
Joe Ingles,ORL,SF
Maxi Kleber,DAL,C
Jontay Porter,TOR,PF
Lester Quiñones,GSW,SG
Ben Sheppard,IND,SG
Blake Wesley,SAS,SG
Jeff Dowtin,PHI,PG
Jaxson Hayes,LAL,C
Caleb Houstan,ORL,SF
John Konchar,MEM,SF
Dru Smith,MIA,SG
Thaddeus Young,2TM,PF
Thaddeus Young,TOR,PF
Thaddeus Young,PHO,PF
Jacob Gilyard,2TM,PG
Jacob Gilyard,MEM,PG
Jacob Gilyard,BRK,PG
Armoni Brooks,BRK,PG
Troy Brown Jr.,2TM,SF
Troy Brown Jr.,MIN,SF
Troy Brown Jr.,DET,SF
Max Christie,LAL,SG
Ashton Hagans,POR,PG
Danuel House Jr.,PHI,SF
Skylar Mays,2TM,SG
Skylar Mays,POR,PG
Skylar Mays,LAL,SG
Sandro Mamukelashvili,SAS,C
Luka Šamanić,UTA,PF
Jae'Sean Tate,HOU,SF
Patty Mills,2TM,PG
Patty Mills,ATL,PG
Patty Mills,MIA,PG
Izaiah Brockington,NOP,PG
Ousmane Dieng,OKC,PF
Luka Garza,MIN,C
Mouhamed Gueye,ATL,PF
Justin Holiday,DEN,SG
Matthew Hurt,MEM,PF
JaVale McGee,SAC,C
Svi Mykhailiuk,BOS,SF
Rayan Rupert,POR,SG
Adama Sanogo,CHI,PF
Jaylin Williams,OKC,C
Jules Bernard,WAS,SG
Chris Duarte,SAC,SF
DeAndre Jordan,DEN,C
Sidy Cissoko,SAS,SF
Anthony Gill,WAS,PF
KJ Martin,2TM,SF
KJ Martin,LAC,SF
KJ Martin,PHI,SF
Keita Bates-Diop,2TM,SF
Keita Bates-Diop,PHO,SF
Keita Bates-Diop,BRK,SF
Oshae Brissett,BOS,SF
Jamal Cain,MIA,PF
Drew Peterson,BOS,PF
T.J. Warren,MIN,SF
James Bouknight,CHO,SG
Collin Gillespie,DEN,PG
Gui Santos,GSW,PF
Jarace Walker,IND,PF
Lindy Waters III,OKC,SG
Théo Maledon,2TM,PG
Théo Maledon,CHO,PG
Théo Maledon,PHO,PG
Onuralp Bitim,CHI,SG
Jordan McLaughlin,MIN,PG
Marques Bolden,2TM,C
Marques Bolden,MIL,C
Marques Bolden,CHO,C
Ryan Rollins,2TM,PG
Ryan Rollins,WAS,PG
Ryan Rollins,MIL,PG
Yuta Watanabe,2TM,SF
Yuta Watanabe,PHO,SF
Yuta Watanabe,MEM,SF
Buddy Boeheim,DET,SF
Moses Brown,POR,C
Wenyen Gabriel,MEM,PF
Nassir Little,PHO,SF
Jalen McDaniels,TOR,SF
Jaden Springer,2TM,PG
Jaden Springer,PHI,SG
Jaden Springer,BOS,PG
Charles Bassey,SAS,C
Micah Potter,UTA,PF
Dwight Powell,DAL,C
Terquavion Smith,PHI,PG
Garrett Temple,TOR,SG
Tristan Thompson,CLE,C
Oscar Tshiebwe,IND,PF
Kira Lewis Jr.,3TM,PG
Kira Lewis Jr.,NOP,PG
Kira Lewis Jr.,TOR,PG
Kira Lewis Jr.,UTA,PG
A.J. Lawson,DAL,SG
Boban Marjanović,HOU,C
Zeke Nnaji,DEN,PF
Ish Smith,CHO,PG
JT Thor,CHO,PF
Brandon Williams,DAL,PG
Wesley Matthews,ATL,SG
Dalen Terry,CHI,SG
Gabe Vincent,LAL,PG
Mike Muscala,3TM,C
Mike Muscala,WAS,C
Mike Muscala,DET,C
Mike Muscala,OKC,C
Johnny Davis,WAS,SG
Saben Lee,PHO,PG
Olivier-Maxence Prosper,DAL,PF
Trevelin Queen,ORL,SG
Jeremiah Robinson-Earl,NOP,PF
Jeenathan Williams,HOU,SG
D.J. Carton,TOR,SG
Henri Drell,CHI,SF
Orlando Robinson,MIA,C
Emoni Bates,CLE,SF
Leaky Black,CHO,SF
Damian Jones,CLE,C
Malik Williams,TOR,C
Timmy Allen,MEM,SF
Moussa Diabaté,LAC,C
Otto Porter Jr.,TOR,SF
Alex Fudge,2TM,SF
Alex Fudge,LAL,SF
Alex Fudge,DAL,SF
Dylan Windler,3TM,SF
Dylan Windler,NYK,SF
Dylan Windler,LAL,SF
Dylan Windler,ATL,SF
Greg Brown III,DAL,PF
Furkan Korkmaz,PHI,SG
Alex Len,SAC,C
Markieff Morris,DAL,PF
Harry Giles,2TM,C
Harry Giles,BRK,C
Harry Giles,LAL,C
AJ Griffin,ATL,SF
Mouhamadou Gueye,TOR,PF
Joe Harris,DET,SG
Cory Joseph,GSW,PG
Xavier Moon,LAC,SG
Jamaree Bouyea,2TM,PG
Jamaree Bouyea,POR,PG
Jamaree Bouyea,SAS,PG
Amari Bailey,CHO,PG
Isaiah Mobley,CLE,PF
Chuma Okeke,ORL,SF
Olivier Sarr,OKC,C
Dereon Seabron,NOP,SG
Cole Swider,MIA,SF
Udoka Azubuike,PHO,C
Reggie Bullock,HOU,SF
Trent Forrest,ATL,SG
Nate Hinton,HOU,SG
Andre Jackson Jr.,MIL,SG
Julian Phillips,CHI,SF
Ish Wainright,2TM,SF
Ish Wainright,POR,SF
Ish Wainright,PHO,SF
Colby Jones,SAC,SG
Mamadi Diakite,2TM,PF
Mamadi Diakite,SAS,PF
Mamadi Diakite,NYK,PF
Kobe Brown,LAC,PF
JD Davison,BOS,SG
Jordan Ford,SAC,PG
Kevon Harris,ORL,SG
D'Moi Hodge,LAL,SG
Ty Jerome,CLE,SG
Markquis Nowell,TOR,SG
Jericho Sims,NYK,C
Lindell Wigginton,MIL,PG
Isaiah Wong,IND,SG
Justin Minaya,POR,SF
Daishen Nix,MIN,PG
Cody Zeller,NOP,C
Taj Gibson,2TM,PF
Taj Gibson,NYK,PF
Taj Gibson,DET,PF
P.J. Tucker,2TM,PF
P.J. Tucker,PHI,PF
P.J. Tucker,LAC,PF
Kessler Edwards,SAC,SF
Leonard Miller,MIN,SF
Jason Preston,UTA,PG
Jordan Walsh,BOS,SF
Jalen Hood-Schifino,LAL,SG
Jett Howard,ORL,SF
Seth Lundy,ATL,SF
Jordan Miller,LAC,SF
Josh Minott,MIN,SF
Jalen Pickett,DEN,SG
Ibou Badji,POR,C
Colin Castleton,LAL,C
Adam Flagler,OKC,SG
Dariq Whitehead,BRK,SF
Terry Taylor,CHI,PF
Jack White,MEM,SF
Kendall Brown,IND,SG
Mason Jones,SAC,SG
Jerome Robinson,GSW,SG
Jermaine Samuels,HOU,SF
Jacob Toppin,NYK,SF
R.J. Hampton,MIA,PG
Nathan Mensah,CHO,C
Isaiah Thomas,PHO,PG
TyTy Washington Jr.,MIL,PG
Jay Huff,DEN,C
Keyontae Johnson,OKC,SF
Chris Livingston,MIL,SF
Braxton Key,DEN,SF
Robin Lopez,MIL,C
Admiral Schofield,ORL,PF
Hunter Tyson,DEN,PF
Filip Petrušev,2TM,C
Filip Petrušev,PHI,C
Filip Petrušev,SAC,C
Hamidou Diallo,WAS,SG
Frank Ntilikina,CHO,PG
Joshua Primo,LAC,SG
Thanasis Antetokounmpo,MIL,PF
James Johnson,IND,PF
Charlie Brown Jr.,NYK,SG
DaQuan Jeffries,NYK,SG
Shaquille Harrison,MEM,SG
Quenton Jackson,IND,PG
Wendell Moore Jr.,MIN,SG
Jalen Slawson,SAC,SF
Pat Spencer,GSW,PG
Alondes Williams,MIA,SG
Juan Toscano-Anderson,SAC,SF
Usman Garuba,GSW,PF
E.J. Liddell,NOP,PF
Pete Nance,CLE,PF
Maxwell Lewis,LAL,SF
Ryan Arcidiacono,NYK,PG
Malcolm Cazalon,DET,SG
Jalen Crutcher,NOP,PG
Andrew Funk,CHI,SG
Kaiser Gates,NOP,SF
Danny Green,PHI,SG
Ron Harper Jr.,TOR,PF
Justin Jackson,MIN,SF
Dmytro Skapintsev,NYK,C
Javonte Smart,PHI,PG
League Average,,
