Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age,G,MP,OWS,DWS,WS,WS/40,MPG
Brian Waddell,F,80.0,190.0,So.,Indiana,,2023,Purdue,True,False,19.0,14.0,57.0,0.1,0.1,0.1,0.091,4.071428571428571
Brice Williams,G,79.0,213.0,Junior,North Carolina,Charlotte,2023,Nebraska,True,True,20.0,34.0,1011.0,2.4,1.8,4.2,0.165,29.735294117647054
Brock Harding,G,72.0,162.0,Fr.,Illinois,,2023,Iowa,True,False,18.0,34.0,368.0,0.4,0.3,0.7,0.075,10.823529411764708
Brooks Barnhizer,G,78.0,215.0,Jr.,Indiana,,2023,Northwestern,True,False,20.0,34.0,1249.0,2.2,2.1,4.3,0.138,36.73529411764706
Bruce Thornton,G,74.0,215.0,So.,Georgia,Milton,2023,Ohio_State,True,False,19.0,35.0,1177.0,4.0,1.4,5.4,0.182,33.628571428571426
C.J. Wilcher,G,77.0,214.0,Junior,New Jersey,Xavier,2023,Nebraska,True,False,20.0,33.0,592.0,1.1,0.7,1.8,0.119,17.939393939393938
CJ Gunn,G,78.0,198.0,So.,Indiana,,2023,Indiana,True,False,19.0,29.0,372.0,-0.1,0.4,0.3,0.027,12.827586206896552
Caelum Swanton-Rodger,C,83.0,220.0,So.,Alberta,,2023,Maryland,False,False,19.0,31.0,201.0,0.2,0.4,0.6,0.125,6.483870967741935
Cale Jacobsen,G,76.0,200.0,Redshirt Freshman,Nebraska,Ashland-Greenwood,2023,Nebraska,True,False,19.0,20.0,55.0,0.1,0.1,0.1,0.083,2.75
Caleb Furst,F,82.0,225.0,Jr.,Indiana,,2023,Purdue,True,False,20.0,36.0,324.0,0.5,0.6,1.0,0.126,9.0
Cam Christie,G,78.0,190.0,Fr.,Illinois,Rolling Meadows HS,2023,Minnesota,True,False,18.0,33.0,993.0,1.6,0.9,2.5,0.1,30.09090909090909
Camden Heide,F,79.0,205.0,R-Fr.,Minnesota,,2023,Purdue,True,False,19.0,39.0,484.0,1.0,0.7,1.7,0.14,12.41025641025641
Carson Barrett,G,77.0,210.0,Sr.,Indiana,,2023,Purdue,True,False,21.0,13.0,23.0,0.0,0.0,0.1,0.109,1.7692307692307692
Carson Cooper,C,83.0,240.0,So.,Michigan,,2023,Michigan_State,True,False,19.0,35.0,595.0,0.7,1.2,1.8,0.124,17.0
Carter Gilmore,F,79.0,232.0,Jr.,Wisconsin,,2023,Wisconsin,True,False,20.0,33.0,305.0,0.4,0.2,0.6,0.082,9.242424242424242
Carter Kingsbury,G,76.0,225.0,RS So.,Nebraska,,2023,Iowa,True,False,20.0,5.0,16.0,0.0,0.0,0.0,0.068,3.2
Chance Stephens,G,75.0,185.0,So.,California,,2023,Maryland,True,True,19.0,,,,,,,
Chase Martin,G,74.0,180.0,Sr.,Missouri,,2023,Purdue,True,False,21.0,13.0,23.0,-0.1,0.0,-0.1,-0.159,1.7692307692307692
Chris Hodges,F,81.0,250.0,So.,Illinois,,2023,Wisconsin,True,False,19.0,11.0,21.0,0.0,0.0,0.0,0.015,1.9090909090909087
Chucky Hepburn,G,74.0,195.0,Jr.,Nebraska,,2023,Wisconsin,True,False,20.0,35.0,1164.0,2.1,1.6,3.7,0.128,33.25714285714286
Clifford Omoruyi,C,83.0,240.0,Sr.,Nigeria,,2023,Rutgers,False,False,21.0,32.0,860.0,1.1,2.3,3.5,0.162,26.875
Coen Carr,F,77.0,220.0,Fr.,Georgia,,2023,Michigan_State,True,False,18.0,35.0,407.0,0.6,0.8,1.3,0.132,11.628571428571428
Colby Baumann,G,75.0,190.0,So.,Texas,IMG Academy,2023,Ohio_State,True,False,19.0,4.0,7.0,0.1,0.0,0.1,0.416,1.75
Coleman Hawkins,F,82.0,230.0,Sr.,California,,2023,Illinois,True,False,21.0,35.0,1107.0,2.8,1.8,4.6,0.168,31.62857142857143
Connor Essegian,G,76.0,195.0,So.,Indiana,,2023,Wisconsin,True,False,19.0,33.0,242.0,0.2,0.2,0.4,0.071,7.333333333333333
Cooper Smith,G,73.0,180.0,Jr.,Michigan,,2023,Michigan,True,True,20.0,10.0,17.0,0.0,0.0,0.0,0.034,1.7
D'Marco Dunn,G,77.0,195.0,Junior,Arizona,North Carolina,2023,Penn_State,True,True,20.0,33.0,601.0,0.5,0.6,1.1,0.076,18.21212121212121
Dain Dainja,F/C,81.0,255.0,R-Jr.,Minnesota,,2023,Illinois,True,False,21.0,38.0,411.0,1.5,0.7,2.1,0.206,10.81578947368421
Dale Bonner,G,74.0,175.0,5th,Ohio,Shaker Heights,2023,Ohio_State,True,True,23.0,36.0,694.0,0.1,0.9,1.0,0.057,19.27777777777778
Dan Conlan,G,76.0,186.0,Senior,Pennsylvania,Dickinson,2023,Penn_State,True,False,21.0,7.0,11.0,0.0,0.0,0.0,-0.003,1.5714285714285714
Daniel Vessey,G,75.0,190.0,Fr.,New Jersey,,2023,Rutgers,True,False,18.0,,,,,,,
Dasonte Bowen,G,74.0,183.0,So.,Massachusetts,,2023,Iowa,True,False,19.0,25.0,335.0,0.6,0.1,0.7,0.088,13.4
Davis Smith,G,72.0,160.0,Sr.,Georgia,,2023,Michigan_State,True,False,21.0,12.0,28.0,0.1,0.0,0.1,0.121,2.333333333333333
Dawson Garcia,F,83.0,230.0,Jr.,Minnesota,Prior Lake HS,2023,Minnesota,True,True,20.0,31.0,993.0,2.7,1.2,3.9,0.159,32.03225806451613
DeShawn Harris-Smith,G,77.0,215.0,Fr.,Virginia,,2023,Maryland,True,False,18.0,33.0,973.0,-0.1,1.6,1.5,0.061,29.484848484848484
Demetrius Lilley,F,82.0,245.0,Sophomore,Pennsylvania,,2023,Penn_State,True,False,19.0,20.0,183.0,0.4,0.3,0.7,0.152,9.15
Derek Simpson,G,75.0,165.0,So.,New Jersey,,2023,Rutgers,True,False,19.0,32.0,831.0,-0.1,1.6,1.5,0.07,25.96875
Devin Royal,F,78.0,210.0,Fr.,Ohio,Pickerington Central,2023,Ohio_State,True,False,18.0,33.0,371.0,0.5,0.5,1.1,0.114,11.242424242424242
Donta Scott,F,80.0,230.0,5th,Pennsylvania,,2023,Maryland,True,False,23.0,33.0,995.0,1.5,1.6,3.1,0.125,30.151515151515152
Dra Gibbs-Lawhorn,G,73.0,185.0,Fr.,Indiana,,2023,Illinois,True,False,18.0,28.0,200.0,0.0,0.2,0.2,0.037,7.142857142857143
Dug McDaniel,G,71.0,175.0,So.,D.C.,,2023,Michigan,True,False,19.0,26.0,921.0,1.7,0.3,2.0,0.087,35.42307692307692
Eli Rice,G,80.0,213.0,Freshman,Tennessee,IMG Academy,2023,Nebraska,True,False,18.0,17.0,171.0,0.4,0.2,0.7,0.158,10.058823529411764
Elijah Hawkins,G,71.0,165.0,Jr.,D.C.,DeMatha Catholic HS,2023,Minnesota,True,True,20.0,33.0,1098.0,2.1,1.2,3.3,0.12,33.27272727272727
Emmanuel Ogbole,C,82.0,260.0,So.,Nigeria,,2023,Rutgers,False,True,19.0,10.0,81.0,-0.1,0.2,0.1,0.047,8.1
Erick Reader,F,80.0,210.0,Fr.,Minnesota,New Life Academy,2023,Minnesota,True,False,18.0,2.0,8.0,0.0,0.0,0.0,0.102,4.0
Ethan Morton,G,79.0,215.0,Sr.,Pennsylvania,,2023,Purdue,True,False,21.0,37.0,370.0,0.1,0.6,0.7,0.075,10.0
Evan Mahaffey,G,78.0,200.0,So.,Ohio,Archbishop Moeller,2023,Ohio_State,True,False,19.0,36.0,795.0,0.5,1.3,1.9,0.094,22.08333333333333
Even Brauns,C,81.0,245.0,Sr.,Iowa,Belmont,2023,Iowa,True,True,21.0,18.0,64.0,0.0,0.1,0.1,0.074,3.555555555555556
Favour Aire,F,83.0,220.0,Sophomore,Nigeria,Miami (Fla.),2023,Penn_State,False,True,19.0,12.0,55.0,-0.1,0.1,0.0,0.004,4.583333333333333
Felix Okpara,C,83.0,235.0,So.,Nigeria,Hamilton Heights Christian Acad./Link Acad.,2023,Ohio_State,False,False,19.0,35.0,824.0,1.4,1.6,3.0,0.143,23.542857142857144
Fletcher Loyer,G,76.0,180.0,So.,Indiana,,2023,Purdue,True,False,19.0,39.0,1086.0,2.3,1.3,3.6,0.134,27.846153846153847
Gabe Cupps,G,74.0,175.0,Fr.,Ohio,,2023,Indiana,True,False,18.0,33.0,716.0,-0.2,0.5,0.3,0.017,21.696969696969692
Gavin Griffiths,G,80.0,193.0,Fr.,Connecticut,,2023,Rutgers,True,False,18.0,32.0,575.0,-0.4,0.9,0.5,0.032,17.96875
Gehrig Normand,G,77.0,190.0,Fr.,Texas,,2023,Michigan_State,True,False,18.0,,,,,,,
George Washington III,G,74.0,170.0,Fr.,Texas,,2023,Michigan,True,False,18.0,,,,,,,
Gus Hurlburt,F,81.0,210.0,So.,North Dakota,,2023,Northwestern,True,False,19.0,6.0,6.0,0.0,0.0,0.0,0.122,1.0
Gus Yalden,F,81.0,245.0,Fr.,Wisconsin,,2023,Wisconsin,True,False,18.0,,,,,,,
Harrison Hochberg,F,79.0,225.0,Fr.,New York,,2023,Michigan,True,False,18.0,10.0,19.0,0.0,0.0,0.0,-0.055,1.9
Henry Burt,F,79.0,216.0,Redshirt Freshman,Nebraska,Elkhorn South,2023,Nebraska,True,False,19.0,7.0,10.0,0.0,0.0,0.0,0.014,1.4285714285714286
Ian Burns,G,78.0,205.0,Jr.,Illinois,,2023,Michigan,True,False,20.0,11.0,25.0,-0.1,0.0,-0.1,-0.151,2.272727272727273
Ian Stephens,G,78.0,180.0,Fr.,Indiana,,2023,Indiana,True,False,18.0,1.0,1.0,0.0,0.0,0.0,-0.003,1.0
Isaac Gard,G,74.0,165.0,So.,Wisconsin,,2023,Wisconsin,True,False,19.0,6.0,6.0,0.0,0.0,0.0,-0.106,1.0
Isaac Lindsey,G,76.0,185.0,Jr.,Wisconsin,,2023,Wisconsin,True,True,20.0,16.0,59.0,-0.1,0.1,0.0,-0.009,3.6875
Isaiah Ihnen,F,81.0,220.0,R-Jr.,Germany,IBA Munich,2023,Minnesota,False,False,21.0,28.0,322.0,0.3,0.4,0.7,0.084,11.5
Jace Howard,G,80.0,225.0,Jr.,Florida,,2023,Michigan,True,False,20.0,10.0,128.0,0.0,0.0,0.0,-0.002,12.8
Jace Rayl,G,71.0,170.0,Fr.,Indiana,,2023,Purdue,True,False,18.0,1.0,1.0,0.0,0.0,0.0,0.025,1.0
Jack Janicki,G,77.0,190.0,Fr.,Minnesota,,2023,Wisconsin,True,False,18.0,,,,,,,
Jack Wilson,C,83.0,285.0,Gr.,California,Junipero Serra HS,2023,Minnesota,True,True,23.0,7.0,30.0,0.0,0.0,0.0,0.037,4.285714285714286
Jackson Creel,G,75.0,190.0,Jr.,Illinois,Rend Lake College,2023,Indiana,True,True,20.0,1.0,1.0,0.0,0.0,0.0,-0.003,1.0
Jackson Purcell,G,77.0,195.0,R-So.,Minnesota,Eastview,2023,Minnesota,True,False,20.0,2.0,4.0,0.0,0.0,0.0,0.101,2.0
Jackson Selvala,F,79.0,230.0,5th,Connecticut,,2023,Michigan,True,True,23.0,13.0,28.0,0.0,0.0,0.1,0.078,2.1538461538461537
Jacob Morales,G,76.0,205.0,So.,New Jersey,,2023,Rutgers,True,False,19.0,5.0,7.0,0.0,0.0,0.0,-0.062,1.4
Jaden Akins,G,76.0,190.0,Jr.,Michigan,,2023,Michigan_State,True,False,20.0,35.0,995.0,1.1,1.6,2.7,0.109,28.428571428571427
Jaelin Llewellyn,G,74.0,190.0,Gr.,Ontario,,2023,Michigan,False,True,23.0,20.0,350.0,-0.1,0.0,-0.1,-0.011,17.5
Jahari Long,G,77.0,200.0,Sr.,Texas,,2023,Maryland,True,True,21.0,30.0,554.0,0.5,0.8,1.3,0.093,18.466666666666665
Jahmir Young,G,73.0,185.0,5th,Maryland,,2023,Maryland,True,True,23.0,32.0,1134.0,3.4,1.9,5.3,0.188,35.4375
Jahnathan Lamothe,G,76.0,192.0,Fr.,Maryland,,2023,Maryland,True,False,18.0,16.0,112.0,-0.2,0.2,0.0,0.002,7.0
Jakai Newton,G,75.0,203.0,Fr.,Georgia,,2023,Indiana,True,False,18.0,,,,,,,
Jamarques Lawrence,G,75.0,183.0,Sophomore,New Jersey,Roselle Catholic,2023,Nebraska,True,False,19.0,34.0,799.0,0.3,1.2,1.5,0.074,23.5
Jameel Brown,G,76.0,188.0,Sophomore,Pennsylvania,,2023,Penn_State,True,False,19.0,27.0,273.0,0.0,0.3,0.3,0.047,10.11111111111111
James Goodis,G,72.0,175.0,Fr.,Florida,,2023,Indiana,True,False,18.0,,,,,,,
Jamichael Davis,G,74.0,175.0,Fr.,Tennessee,,2023,Rutgers,True,False,18.0,31.0,716.0,-0.2,1.4,1.1,0.063,23.096774193548388
"Jamie Kaiser, Jr.",F,78.0,205.0,Fr.,Virginia,,2023,Maryland,True,False,18.0,,,,,,,
Jamison Battle,F,79.0,220.0,5th,Minnesota,DeLaSalle,2023,Ohio_State,True,True,23.0,35.0,1099.0,3.2,1.2,4.4,0.161,31.4
Jarron Coleman,G,77.0,213.0,Senior,Indiana,Ball State,2023,Nebraska,True,True,21.0,12.0,144.0,-0.2,0.2,0.0,-0.014,12.0
Jaxon Kohler,F,81.0,245.0,So.,Utah,,2023,Michigan_State,True,False,19.0,21.0,195.0,0.0,0.3,0.3,0.059,9.285714285714286
Jeffrey Grace III,G,75.0,197.0,Sophomore,Illinois,Arizona State,2023,Nebraska,True,False,19.0,,,,,,,
Jeremiah Williams,G,76.0,177.0,R-Jr.,Illinois,,2023,Rutgers,True,True,21.0,12.0,322.0,0.4,0.6,1.0,0.129,26.83333333333333
Jeremy Fears Jr.,G,74.0,190.0,Fr.,Illinois,,2023,Michigan_State,True,False,18.0,,,,,,,
John Blackwell,G,76.0,194.0,Fr.,Michigan,,2023,Wisconsin,True,False,18.0,34.0,628.0,1.6,0.7,2.3,0.149,18.47058823529412
Jordan Geronimo,F,78.0,225.0,Sr.,New Jersey,,2023,Maryland,True,True,21.0,31.0,722.0,0.4,1.4,1.8,0.097,23.29032258064516
Jordan Clayton,G,74.0,180.0,Fy.,Massachusetts,,2023,Northwestern,True,False,18.0,28.0,202.0,-0.4,0.2,-0.2,-0.041,7.214285714285714
Jordan Rayford,G,77.0,205.0,R-Fr.,D.C.,Air Force,2023,Indiana,True,False,19.0,,,,,,,
Josh Dix,G,77.0,200.0,So.,Iowa,,2023,Iowa,True,False,19.0,34.0,831.0,1.9,0.4,2.3,0.11,24.44117647058824
Josh Furst,F,78.0,200.0,Fr.,Indiana,,2023,Purdue,True,False,18.0,1.0,1.0,0.0,0.0,0.0,0.177,1.0
Joshua Ola-Joseph,F,79.0,215.0,So.,Minnesota,Compass Prep,2023,Minnesota,True,False,19.0,29.0,455.0,1.2,0.3,1.6,0.138,15.689655172413794
Josiah Allick,F,80.0,231.0,Senior,Nebraska,New Mexico,2023,Nebraska,True,True,21.0,33.0,785.0,1.8,1.2,3.0,0.151,23.78787878787879
Jovone Cater,G,74.0,180.0,Sr.,New York,,2023,Iowa,True,False,21.0,4.0,12.0,-0.1,0.0,-0.1,-0.25,3.0
Julian Reese,F,81.0,230.0,Jr.,Maryland,,2023,Maryland,True,False,20.0,32.0,1022.0,1.7,2.4,4.1,0.159,31.9375
Justin Harmon,G,76.0,180.0,Gr.,Illinois,,2023,Illinois,True,True,23.0,38.0,713.0,1.3,0.8,2.0,0.113,18.76315789473684
Justin Mullins,G,78.0,190.0,So.,Illinois,Denver,2023,Northwestern,True,True,19.0,19.0,98.0,-0.1,0.1,0.0,-0.003,5.157894736842105
Juwan Gary,F,78.0,221.0,Junior,South Carolina,Alabama,2023,Nebraska,True,True,20.0,28.0,757.0,2.1,1.4,3.5,0.185,27.035714285714285
Kadyn Betts,F,80.0,220.0,R-Fr.,Colorado,Pueblo Central,2023,Minnesota,True,False,19.0,8.0,56.0,-0.1,0.0,0.0,-0.034,7.0
Kaleb Banks,F,80.0,220.0,So.,Georgia,,2023,Indiana,True,False,19.0,21.0,223.0,0.1,0.2,0.3,0.052,10.61904761904762
Kalen Etzler,F,80.0,190.0,R-So.,Ohio,Crestview,2023,Ohio_State,True,False,20.0,7.0,14.0,-0.1,0.0,-0.1,-0.215,2.0
Kamari McGee,G,72.0,180.0,Jr.,Wisconsin,,2023,Wisconsin,True,True,20.0,25.0,206.0,0.3,0.3,0.6,0.11,8.24
Kanye Clary,G,71.0,195.0,Sophomore,Virginia,,2023,Penn_State,True,False,19.0,23.0,679.0,1.6,0.7,2.2,0.132,29.52173913043478
Keaton Kutcher,G,74.0,200.0,Jr.,Iowa,,2023,Illinois,True,True,20.0,,,,,,,
Keisei Tominaga,G,74.0,179.0,Senior,Japan,Ranger College,2023,Nebraska,False,True,21.0,32.0,836.0,2.3,1.1,3.4,0.162,26.125
Kel'el Ware,C,84.0,242.0,So.,Arkansas,Oregon,2023,Indiana,True,True,19.0,30.0,965.0,2.7,1.5,4.2,0.175,32.166666666666664
Kris Keinys,F,80.0,215.0,Fr.,Lithuania,Klaipedos Vytauto Did??iojo gimnazija,2023,Minnesota,False,False,18.0,5.0,21.0,0.0,0.0,0.0,0.083,4.2
Ladji Dembele,F,80.0,250.0,Fr.,New Jersey,,2023,Iowa,True,False,18.0,32.0,354.0,-0.2,0.3,0.2,0.021,11.0625
Lance Jones,G,73.0,200.0,5th,Illinois,,2023,Purdue,True,True,23.0,39.0,1116.0,2.0,1.7,3.7,0.132,28.615384615384617
Leo O'Boyle,F,79.0,225.0,Graduate Student,Pennsylvania,Lafayette,2023,Penn_State,True,True,23.0,33.0,358.0,0.1,0.3,0.4,0.047,10.848484848484848
Luc Laketa,G,77.0,185.0,Jr.,Michigan,Winchendon (MA),2023,Iowa,True,False,20.0,4.0,12.0,0.0,0.0,0.0,-0.005,3.0
Lukas Sotell,G,75.0,170.0,Fr.,Connecticut,,2023,Maryland,True,False,18.0,4.0,6.0,0.0,0.0,0.0,0.186,1.5
Luke Goode,G/F,79.0,205.0,Jr.,Indiana,,2023,Illinois,True,False,20.0,38.0,765.0,1.5,0.8,2.3,0.119,20.13157894736842
Luke Haertle,G,76.0,215.0,R-Fr.,Wisconsin,,2023,Wisconsin,True,False,19.0,11.0,11.0,0.0,0.0,0.0,-0.126,1.0
Luke Hunger,F,82.0,255.0,So.,Quebec,,2023,Northwestern,False,False,19.0,31.0,394.0,0.6,0.3,0.9,0.091,12.709677419354838
Mackenzie Mgbako,F,80.0,217.0,Fr.,New Jersey,,2023,Indiana,True,False,18.0,33.0,894.0,1.4,0.7,2.0,0.091,27.09090909090909
Mady Traore,F,83.0,195.0,So.,France,,2023,Maryland,False,True,19.0,12.0,103.0,0.0,0.1,0.1,0.05,8.583333333333334
Mady Sissoko,C,81.0,250.0,Sr.,Mali,,2023,Michigan_State,False,False,21.0,35.0,532.0,0.5,1.1,1.6,0.123,15.2
Malik Hall,F,80.0,220.0,Gr.,Illinois,,2023,Michigan_State,True,False,23.0,35.0,1002.0,2.6,1.5,4.1,0.165,28.62857142857143
Malik Reneau,F,81.0,233.0,So.,Florida,,2023,Indiana,True,False,19.0,33.0,946.0,2.0,0.9,2.9,0.123,28.666666666666668
Marcus Domask,G/F,78.0,215.0,Gr.,Wisconsin,,2023,Illinois,True,True,23.0,38.0,1312.0,3.4,1.3,4.6,0.141,34.526315789473685
Markus Ilver,F,81.0,225.0,Jr.,Estonia,,2023,Wisconsin,False,False,20.0,27.0,160.0,0.1,0.2,0.3,0.073,5.925925925925926
Mason Gillis,F,78.0,225.0,Sr.,Indiana,,2023,Purdue,True,False,21.0,39.0,823.0,2.3,1.0,3.3,0.162,21.102564102564106
Matar Diop,F,82.0,213.0,Freshman,Senegal,Keystone Athletic Academy,2023,Nebraska,False,False,18.0,19.0,72.0,0.0,0.2,0.1,0.071,3.789473684210526
Matthew Nicholson,C,84.0,280.0,Sr.,Michigan,,2023,Northwestern,True,False,21.0,29.0,646.0,1.6,0.9,2.5,0.155,22.27586206896552
Mawot Mag,F,79.0,216.0,Sr.,Australia,,2023,Rutgers,False,False,21.0,17.0,456.0,0.0,0.9,0.9,0.076,26.823529411764707
Max Klesmit,G,76.0,200.0,Jr.,Wisconsin,,2023,Wisconsin,True,True,20.0,36.0,1032.0,2.1,1.0,3.0,0.118,28.666666666666668
Max Williams,G,74.0,200.0,Sr.,Illinois,,2023,Illinois,True,True,21.0,10.0,13.0,0.0,0.0,0.0,-0.07,1.3
Mike Mitchell Jr.,G,74.0,185.0,Jr.,California,Archbishop Mitty,2023,Minnesota,True,True,20.0,,,,,,,
Myles Colvin,G,77.0,200.0,Fr.,Indiana,,2023,Purdue,True,False,18.0,31.0,266.0,0.4,0.4,0.8,0.113,8.580645161290322
Niccolo Moretti,G,73.0,170.0,R-Fr.,Italy,,2023,Illinois,False,False,19.0,18.0,106.0,0.1,0.1,0.3,0.095,5.888888888888889
Nick Kern Jr.,G,78.0,200.0,Junior,Missouri,VCU,2023,Penn_State,True,True,20.0,,,,,,,
Nick Martinelli,F,79.0,200.0,So.,Illinois,,2023,Northwestern,True,False,19.0,34.0,885.0,1.5,0.9,2.4,0.109,26.029411764705884
Nick Sanders,G,70.0,185.0,So.,Michigan,,2023,Michigan_State,True,False,19.0,9.0,12.0,0.0,0.0,0.0,-0.001,1.3333333333333333
Nimari Burnett,G,76.0,200.0,Gr.,Illinois,,2023,Michigan,True,True,23.0,32.0,1002.0,1.0,0.4,1.4,0.057,31.3125
Noah Batchelor,G,78.0,185.0,So.,Maryland,,2023,Maryland,True,False,19.0,26.0,201.0,0.0,0.2,0.2,0.044,7.730769230769231
Noah Fernandes,G,71.0,180.0,5th,Massachusetts,,2023,Rutgers,True,True,23.0,31.0,634.0,0.3,1.1,1.4,0.086,20.451612903225808
Nolan Winter,F,83.0,220.0,Fr.,Minnesota,,2023,Wisconsin,True,False,18.0,36.0,339.0,0.5,0.4,0.8,0.097,9.416666666666666
Olivier Nkamhoua,F,81.0,235.0,Gr.,Finland,,2023,Michigan,False,True,23.0,26.0,869.0,1.4,0.5,1.9,0.087,33.42307692307692
Oskar Palmquist,F,80.0,220.0,R-Sr.,Sweden,,2023,Rutgers,False,False,22.0,28.0,304.0,0.3,0.5,0.8,0.107,10.857142857142858
Owen Freeman,F,82.0,230.0,Fr.,Illinois,,2023,Iowa,True,False,18.0,34.0,778.0,2.4,1.1,3.5,0.181,22.88235294117647
Owen Spencer,F,81.0,230.0,Sr.,Ohio,Turpin,2023,Ohio_State,True,True,21.0,2.0,6.0,0.0,0.0,0.0,-0.209,3.0
Parker Fox,F,80.0,220.0,R-Sr.,Minnesota,Mahtomedi,2023,Minnesota,True,True,22.0,34.0,476.0,1.1,0.7,1.9,0.156,14.0
Parker Strauss,G,75.0,180.0,Fy.,California,,2023,Northwestern,True,False,18.0,,,,,,,
Patrick McCaffery,F,81.0,212.0,RS Sr.,Iowa,,2023,Iowa,True,False,22.0,31.0,712.0,1.0,0.4,1.4,0.076,22.967741935483872
Payton Sandfort,F,79.0,215.0,Jr.,Iowa,,2023,Iowa,True,False,20.0,34.0,1037.0,3.4,0.9,4.3,0.164,30.5
Payton Sparks,F,82.0,258.0,Jr.,Indiana,Ball State,2023,Indiana,True,True,20.0,24.0,176.0,0.1,0.2,0.4,0.081,7.333333333333333
Pharrel Payne,F,81.0,255.0,So.,Minnesota,Park High School Cottage Grove,2023,Minnesota,True,False,19.0,32.0,747.0,1.4,0.9,2.4,0.126,23.34375
Pryce Sandfort,F,78.0,205.0,Fr.,Iowa,,2023,Iowa,True,False,18.0,32.0,278.0,0.2,0.1,0.4,0.053,8.6875
Puff Johnson,G,80.0,205.0,Senior,Pennsylvania,North Carolina,2023,Penn_State,True,True,21.0,29.0,571.0,1.3,0.7,2.0,0.138,19.689655172413797
Qudus Wahab,F,83.0,245.0,Graduate Student,Nigeria,Georgetown/Maryland,2023,Penn_State,False,True,23.0,33.0,839.0,2.2,1.5,3.7,0.177,25.424242424242426
Quincy Guerrier,G/F,80.0,230.0,Gr.,Quebec,,2023,Illinois,False,True,23.0,38.0,914.0,2.0,1.2,3.1,0.137,24.05263157894737
Ramel Lloyd Jr.,G,78.0,210.0,Redshirt Freshman,California,Sierra Canyon,2023,Nebraska,True,False,19.0,,,,,,,
RayQuawndis Mitchell,G,77.0,195.0,Graduate Student,Minnesota,Kansas City/UIC/Otero JC/Idaho,2023,Penn_State,True,True,23.0,,,,,,,
Rienk Mast,F,82.0,248.0,Junior,Netherlands,Bradley,2023,Nebraska,False,True,20.0,32.0,951.0,1.8,1.5,3.3,0.14,29.71875
Riley Mulvey,F,83.0,245.0,Jr.,New York,,2023,Iowa,True,False,20.0,,,,,,,
Roddy Gayle Jr.,G,76.0,210.0,So.,New York,Lewiston-Porter,2023,Ohio_State,True,False,19.0,,,,,,,
Ross Candelino,G,77.0,195.0,So.,Florida,,2023,Wisconsin,True,False,19.0,,,,,,,
Ryan Langborg,G,76.0,195.0,Gr.,California,Princeton,2023,Northwestern,True,True,23.0,32.0,1066.0,2.3,1.1,3.4,0.129,33.3125
Sam Hoiberg,G,72.0,183.0,Sophomore,Nebraska,Pius X,2023,Nebraska,True,False,19.0,34.0,669.0,0.6,1.1,1.7,0.099,19.676470588235293
Sam King,F,80.0,220.0,So.,Indiana,,2023,Purdue,True,False,19.0,6.0,11.0,0.0,0.0,0.1,0.239,1.8333333333333333
Scotty Middleton,G,79.0,190.0,Fr.,Florida,Sunrise Christian,2023,Ohio_State,True,False,18.0,30.0,459.0,0.4,0.5,0.8,0.072,15.3
Sencire Harris,G,76.0,170.0,So.,Ohio,,2023,Illinois,True,False,19.0,,,,,,,
Shaan Burke,G,77.0,195.0,Jr.,California,,2023,Indiana,True,False,20.0,1.0,1.0,0.0,0.0,0.0,-0.003,1.0
Spencer Hutchison,G,76.0,202.0,RS Fr.,Texas,,2023,Iowa,True,False,,3.0,9.0,0.0,0.0,0.0,-0.113,3.0
Steven Crowl,F,84.0,247.0,Jr.,Minnesota,,2023,Wisconsin,True,False,20.0,36.0,1044.0,2.9,1.2,4.1,0.159,29.0
Steven Izzo,G,68.0,150.0,Gr.,Michigan,,2023,Michigan_State,True,False,23.0,10.0,12.0,0.0,0.0,0.0,-0.089,1.2
Taison Chatman,G,76.0,175.0,Fr.,Minnesota,Totino-Grace,2023,Ohio_State,True,False,18.0,17.0,71.0,-0.1,0.1,-0.1,-0.041,4.176470588235294
Tarris Reed Jr.,F,82.0,265.0,So.,Missouri,,2023,Michigan,True,False,19.0,,,,,,,
Terrance Williams II,F,79.0,225.0,Sr.,Maryland,,2023,Michigan,True,False,21.0,,,,,,,
Terrence Shannon Jr.,G,78.0,225.0,5th,Illinois,,2023,Illinois,True,True,23.0,,,,,,,
Tony Perkins,G,76.0,205.0,Sr.,Indiana,,2023,Iowa,True,False,21.0,34.0,1049.0,2.2,1.0,3.2,0.121,30.852941176470587
Tray Jackson,F,82.0,215.0,Gr.,Michigan,,2023,Michigan,True,True,23.0,28.0,435.0,0.1,0.2,0.2,0.023,15.535714285714286
Tre Holloman,G,74.0,180.0,So.,Minnesota,,2023,Michigan_State,True,False,19.0,35.0,690.0,1.3,1.0,2.2,0.129,19.714285714285715
Trey Galloway,G,77.0,205.0,Sr.,Indiana,,2023,Indiana,True,False,21.0,31.0,1034.0,1.0,0.7,1.7,0.067,33.354838709677416
Trey Kaufman-Renn,F,81.0,230.0,So.,Indiana,,2023,Purdue,True,False,19.0,39.0,663.0,1.4,1.0,2.4,0.146,17.0
Ty Berry,G,75.0,185.0,Sr.,Kansas,,2023,Northwestern,True,False,21.0,23.0,686.0,1.4,0.9,2.3,0.132,29.82608695652174
